Ian Greenquist: Penn State University 
File generated on: 02-Nov-2016 12:35:20
Absolute Domain: -100 -100 -100 lower bounds:   700  700  700 upper bounds.
Effective Domain: 95.15354      104.6271      151.2749 lower bounds:   467.5373      493.2318      465.7802 upper bounds.
Dimensions = 3:  Number of particles = 20
       x            y            z        r
  467.537333   321.539475   452.682939  60.0000
  114.541301   203.811428   294.793653  74.0000
  411.465793   493.231761   329.381633  64.0000
  363.292062   232.989766   430.896716  77.0000
   95.153541   287.389218   412.601289  71.0000
  216.404771   204.607903   403.714361  75.0000
  446.462959   365.802376   273.990407  78.0000
  292.896854   439.253685   268.025903  80.0000
  159.597767   203.339313   160.028518  67.0000
  222.099689   346.404271   460.661158  77.0000
  319.495091   104.627147   372.546967  70.0000
  284.724205   283.250482   156.468422  81.0000
  410.767249   208.993091   281.057116  82.0000
  299.209539   299.699637   300.247145  63.0000
  260.460626   174.351646   263.700860  72.0000
  385.719293   422.835582   151.274865  70.0000
  165.055523   402.872847   337.610423  69.0000
  252.179314   471.622594   407.988957  61.0000
  443.411718   489.082750   465.780201  75.0000
  357.622004   383.564235   400.020504  76.0000
